Modelo,tipo_modelo,horizonte,usa_sentimiento,umbral,Acc,B_Acc,F1,ROC
LSTM_32,LSTM,5d,0,0.58,0.5449438202247191,0.5087634163050925,0.6610878661087866,0.5173127426353048
LSTM_64,LSTM,5d,0,0.595,0.5730337078651685,0.5415905457867093,0.6742857142857143,0.5462577072390956
