Modelo,tipo_modelo,horizonte,usa_sentimiento,umbral,Acc,B_Acc,F1,ROC
LSTM_32,LSTM,1d,0,0.585,0.4887640449438202,0.4879502861631691,0.34532374100719426,0.49169565705308044
LSTM_64,LSTM,1d,0,0.56,0.4868913857677903,0.4864212770732802,0.41201716738197425,0.4735439344630232
