Modelo,tipo:modelo,horizonte,usa_sentimiento,Acc,B_Acc,F1,ROC
Dummy_MostFreq,ML,1d,0,0.4944852941176471,0.5,0.6617466174661747,0.5
Logistic_Reg,ML,1d,0,0.5,0.5002230483271375,0.5072463768115942,0.4965055762081785
Random_Forest,ML,1d,0,0.4852941176470588,0.48989523487664755,0.6354166666666666,0.5079013180128422
Hist_GB,ML,1d,0,0.4889705882352941,0.49247718823927,0.6106442577030813,0.5378709023318688
