Modelo,tipo:modelo,horizonte,usa_sentimiento,Acc,B_Acc,F1,ROC
Dummy_MostFreq,ML,5d,1,0.5569852941176471,0.5,0.7154663518299882,0.5
Logistic_Reg,ML,5d,1,0.5716911764705882,0.5280596524382729,0.7031847133757961,0.5736137929145613
Random_Forest,ML,5d,1,0.5533088235294118,0.4966996699669967,0.7124260355029586,0.4622516193528067
Hist_GB,ML,5d,1,0.5404411764705882,0.5046766087397121,0.6648793565683646,0.5027183216246935
