Date,sentiment_mean,sentiment_median,sentiment_std,n_news,pos_ratio,neg_ratio,neu_ratio
2008-09-29,-0.6652292410532633,-0.9956961870193481,0.5761094252572541,3,0.0,0.6666666666666666,0.3333333333333333
2008-10-01,0.0,0.0,,1,0.0,0.0,1.0
2008-10-06,0.0,0.0,,1,0.0,0.0,1.0
2008-10-07,-0.9160431027412415,-0.9160431027412415,,1,0.0,1.0,0.0
2008-10-13,-0.9999997615814209,-0.9999997615814209,,1,0.0,1.0,0.0
2008-10-15,0.0,0.0,0.0,2,0.0,0.0,1.0
2008-10-17,0.0,0.0,0.0,2,0.0,0.0,1.0
2008-10-20,0.0,0.0,,1,0.0,0.0,1.0
2008-10-21,0.0,0.0,,1,0.0,0.0,1.0
2008-10-23,-0.4999706745147705,-0.4999706745147705,0.7070653086876129,2,0.0,0.5,0.5
2008-10-24,-0.4999532103538513,-0.4999532103538513,0.7070406106343854,2,0.0,0.5,0.5
2008-10-29,0.0,0.0,,1,0.0,0.0,1.0
2008-10-30,-0.49111583828926086,-0.49111583828926086,0.6945426792049045,2,0.0,0.5,0.5
2008-11-03,0.00042754411697387695,0.0,0.9984032304215168,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
2008-11-04,0.0,0.0,,1,0.0,0.0,1.0
2008-11-05,0.0,0.0,,1,0.0,0.0,1.0
2008-11-07,0.0,0.0,,1,0.0,0.0,1.0
2008-11-10,0.0,0.0,,1,0.0,0.0,1.0
2008-11-11,-0.15790438652038574,-0.15790438652038574,1.1909015201112159,2,0.5,0.5,0.0
2008-11-17,-0.9988740682601929,-0.9988740682601929,0.0006778056177521978,2,0.0,1.0,0.0
2008-11-21,0.0,0.0,,1,0.0,0.0,1.0
2008-11-24,0.9999973773956299,0.9999973773956299,,1,1.0,0.0,0.0
2008-11-26,0.0,0.0,,1,0.0,0.0,1.0
2008-12-01,0.0,0.0,,1,0.0,0.0,1.0
2008-12-02,0.0,0.0,,1,0.0,0.0,1.0
2008-12-03,0.9999977350234985,0.9999977350234985,,1,1.0,0.0,0.0
2008-12-04,-0.9999984502792358,-0.9999984502792358,,1,0.0,1.0,0.0
2008-12-09,-0.9925690293312073,-0.9925690293312073,,1,0.0,1.0,0.0
2008-12-11,0.49992793798446655,0.49992793798446655,0.7070048701068482,2,0.5,0.0,0.5
2008-12-17,-0.9999419450759888,-0.9999419450759888,,1,0.0,1.0,0.0
2008-12-18,0.0,0.0,,1,0.0,0.0,1.0
2008-12-24,0.0,0.0,,1,0.0,0.0,1.0
2008-12-30,-0.49934861063957214,-0.49934861063957214,0.7061855775186449,2,0.0,0.5,0.5
2008-12-31,0.0,0.0,,1,0.0,0.0,1.0
2009-01-07,-0.9999998807907104,-0.9999998807907104,,1,0.0,1.0,0.0
2009-01-08,0.9989805817604065,0.9989805817604065,,1,1.0,0.0,0.0
2009-01-12,-0.9716193675994873,-0.9716193675994873,,1,0.0,1.0,0.0
2009-01-20,0.0,0.0,,1,0.0,0.0,1.0
2009-01-21,-0.49541667103767395,-0.49541667103767395,0.7006249752072086,2,0.0,0.5,0.5
2009-01-23,0.0,0.0,,1,0.0,0.0,1.0
2009-01-28,-0.48736125230789185,-0.48736125230789185,0.6892328927889565,2,0.0,0.5,0.5
2009-01-30,0.0,0.0,,1,0.0,0.0,1.0
2009-02-02,0.0,0.0,,1,0.0,0.0,1.0
2009-02-09,0.0,0.0,,1,0.0,0.0,1.0
2009-02-17,-0.9342449903488159,-0.9342449903488159,,1,0.0,1.0,0.0
2009-02-18,-0.43307414650917053,-0.43307414650917053,0.6124593315064217,2,0.0,0.5,0.5
2009-02-23,0.0,0.0,,1,0.0,0.0,1.0
2009-02-25,0.0,0.0,,1,0.0,0.0,1.0
2009-03-02,0.0,0.0,,1,0.0,0.0,1.0
2009-03-03,-0.9985405206680298,-0.9985405206680298,,1,0.0,1.0,0.0
2009-03-04,-0.999991774559021,-0.999991774559021,,1,0.0,1.0,0.0
2009-03-05,0.0,0.0,,1,0.0,0.0,1.0
2009-03-09,0.0,0.0,,1,0.0,0.0,1.0
2009-03-13,0.0,0.0,,1,0.0,0.0,1.0
2009-03-18,0.0,0.0,,1,0.0,0.0,1.0
2009-03-26,-0.48193079233169556,-0.48193079233169556,,1,0.0,1.0,0.0
2009-04-06,-7.641315460205078e-05,-7.641315460205078e-05,1.4043490081854233,2,0.5,0.5,0.0
2009-04-13,-0.9698843359947205,-0.9698843359947205,,1,0.0,1.0,0.0
2009-04-17,0.0,0.0,,1,0.0,0.0,1.0
